2025-10-15 23:00:05,015 - DEBUG - in-event <InotifyEvent: src_path=b'/app/app.py', wd=1, mask=IN_OPEN, cookie=0, name='app.py'>
2025-10-15 23:00:05,018 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,020 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,022 - DEBUG - in-event <InotifyEvent: src_path=b'/app/app.py', wd=1, mask=IN_CLOSE_NOWRITE, cookie=0, name='app.py'>
2025-10-15 23:00:05,024 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,107 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,108 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,110 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,112 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,117 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,119 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,121 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,123 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,125 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,127 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,129 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,131 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,134 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,136 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,138 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,140 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,141 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,144 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,147 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
2025-10-15 23:00:05,148 - DEBUG - in-event <InotifyEvent: src_path=b'/app/agent_manager.log', wd=1, mask=IN_MODIFY, cookie=0, name='agent_manager.log'>
